name,percentage,2014,2013,2012,2011,2010,2009,2008,2007,2006
Afghanistan,7.59,"2,596,270","2,556,502","2,586,152","2,664,436","3,054,709","1,905,804","1,817,913","1,909,911","2,107,519"
Albania,0.35,"10,158","10,103","12,568","13,551","14,772","15,711","15,006","15,340","14,080"
Algeria,0.01,"3,524","3,660","5,673","6,120","6,688","8,184","9,060","10,615","8,353"
Andorra,0.01,7,5,7,6,6,6,6,9,10
Angola,0.04,"9,484","10,286","19,258","128,664","134,858","141,021","171,393","186,155","206,501"
Antigua and Barbuda,0.06,53,49,45,32,30,28,26,25,19
Argentina,0.00,318,388,447,518,557,608,"1,047","1,171",894
Armenia,0.39,"11,848","11,998","15,934","16,486","17,546","18,000","16,336","15,436","14,918"
Australia,0.00,25,28,48,39,37,28,43,63,29
Austria,0.00,10,10,12,11,10,12,14,23,34
Azerbaijan,0.11,"10,515","10,814","15,537","16,162","16,753","16,939","16,319","15,916","126,068"
Bahamas,0.06,215,210,196,185,17,15,15,14,14
Bahrain,0.03,347,275,297,215,87,79,80,73,62
Bangladesh,0.01,"10,881","9,725","10,156","10,052","10,046","10,432","10,098","10,241","7,803"
Barbados,0.03,86,67,55,45,32,29,34,38,27
Belarus,0.05,"4,300","4,397","6,191","5,925","5,743","5,525","5,384","4,970","9,371"
Belgium,0.00,75,78,93,90,83,71,61,60,64
Belize,0.01,45,40,39,32,23,17,20,17,18
Benin,0.00,340,302,457,461,442,411,318,265,215
Bhutan,3.00,"23,642","31,567","41,590","55,603","72,776","86,773","102,465","108,098","108,073"
Bolivia,0.01,600,601,618,611,590,573,454,428,374
Bosnia and Herzegovina,0.57,"21,841","26,756","51,767","58,515","62,910","69,911","74,131","78,273","199,946"
Botswana,0.01,237,168,127,85,53,30,26,16,12
Brazil,0.00,977,985,"1,076","1,045",994,973,"1,404","1,624",707
Brunei,0.00,1,1,1,1,1,1,1,2,2
Bulgaria,0.02,"1,648","1,880","2,147","2,327","2,559","2,745","3,040","3,311","3,438"
Burkina Faso,0.01,"1,853","1,580","1,456","1,267","1,141",986,721,554,376
Burundi,0.67,"72,493","72,647","73,363","101,288","84,064","94,239","281,592","375,715","396,541"
Cambodia,0.09,"13,062","13,713","13,993","15,184","16,301","17,011","17,245","17,697","17,965"
Cameroon,0.05,"10,766","11,427","13,382","15,163","14,963","14,766","13,870","11,508","10,384"
Canada,0.00,95,99,119,105,90,99,101,530,95
Cape Verde,0.01,27,28,25,27,25,24,30,32,40
CAR,7.88,"410,787","249,044","162,442","160,736","162,755","154,005","120,106","98,104","71,685"
Cayman Islands,0.01,6,6,1,1,1,,,,
Chad,0.11,"14,855","15,237","15,844","18,720","21,583","21,646","55,105","55,722","36,300"
Chile,0.00,579,596,"1,152","1,189","1,170","1,312",994,970,805
China,0.02,"210,802","195,133","193,453","190,369","184,602","180,558","175,180","149,095","140,598"
Colombia,0.22,"103,150","108,117","111,773","113,605","113,233","104,388","77,232","70,120","72,796"
Comoros,0.08,581,513,454,422,368,268,378,96,72
Congo,0.32,"14,500","11,753","12,119","12,839","20,679","20,544","19,925","19,735","20,609"
Cook Islands,0.00,1,1,1,1,1,1,,,
Costa Rica,0.01,417,463,325,331,352,344,354,361,284
Ivory Coast,0.32,"71,966","85,652","100,717","154,824","41,758","23,153","22,227","22,232","26,315"
Croatia,0.93,"40,122","49,756","62,606","62,649","65,861","76,478","97,012","100,423","93,767"
Cuba,0.06,"6,502","6,460","6,724","6,849","6,470","6,549","6,938","7,123","33,580"
Curaçao,0.02,35,35,,,,,,,
Cyprus,0.00,10,10,11,11,13,11,10,9,5
Czech Republic,0.01,"1,327",991,622,763,817,"1,067","1,358","1,384","2,138"
Denmark,0.00,12,10,9,9,9,10,11,14,12
Djibouti,0.10,879,762,640,602,566,622,650,648,486
Dominica,0.05,38,43,54,52,52,53,56,58,49
Dominican Republic,0.00,349,306,289,250,246,230,318,358,150
DRC,0.69,"516,563","499,355","509,082","491,481","476,693","455,852","367,995","370,386","401,914"
Ecuador,0.01,804,707,844,909,852,"1,027","1,066","1,332",887
Egypt,0.02,"15,903","12,810","10,016","7,934","6,911","6,987","6,777","6,799","7,613"
El Salvador,0.18,"10,965","9,635","8,171","6,720","4,976","5,051","5,151","6,022","6,388"
Equatorial Guinea,0.02,174,200,228,258,305,344,384,407,461
Eritrea,6.08,"330,541","273,063","248,024","220,745","205,458","197,313","181,971","208,743","193,745"
Estonia,0.03,339,352,456,224,240,248,248,262,626
Ethiopia,0.09,"86,870","77,122","74,939","70,586","68,832","62,873","63,862","59,832","74,026"
Fiji,0.10,924,"1,112","1,317","1,579","1,851","1,892","1,868","1,828","1,685"
Finland,0.00,7,7,7,7,6,6,4,4,6
